number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,10.0,0.1,0.75,3.0,388.0,20.0,7.8,640.2
200.0,50.0,10.0,0.2,0.75,3.0,388.4,19.6,8.0,640.0
200.0,50.0,10.0,0.3,0.75,3.0,388.6,19.4,8.0,640.0
200.0,50.0,10.0,0.4,0.75,3.0,389.0,19.0,8.0,640.0
200.0,50.0,10.0,0.5,0.75,3.0,388.8,19.2,8.0,640.0
200.0,50.0,10.0,0.6,0.75,3.0,388.4,19.6,8.0,640.0
200.0,50.0,10.0,0.7,0.75,3.0,389.0,19.0,8.0,640.0
200.0,50.0,10.0,0.8,0.75,3.0,388.6,19.4,8.0,640.0
200.0,50.0,10.0,0.9,0.75,3.0,388.8,19.2,8.0,640.0
200.0,50.0,10.0,1.0,0.75,3.0,388.2,19.8,8.0,640.0
